# Time	S	X1	X2	X3	X4	X5	X6	P1	P2	Compartments[compartment]	Values[Keq]	Values[Km_sp]	Values[Vf]	Values[MAR1]	Values[MAR2]	Values[MAR3]	Values[MAR4]	Values[MAR5]	Values[MAR6]	Values[MAR7]	Values[MAR8]	Values[dG1]	Values[dG2]	Values[dG4]	Values[dG5]	Values[dG6]	Values[dG7]	Values[dG8]	Values[dG3]	
95	819.354	288.022	94.5859	59.2014	34.4849	43.6557	64.6806	17.0923	26.7677	1	1	50	100	0.351523	0.328398	0.625901	0.582501	0.495646	0.461546	1.48161	0.413844	-2.58156	-2.74959	-1.33445	-1.73315	-1.90917	0.970734	-2.17854	-1.157	
100	839.316	293.831	96.0133	59.9832	34.8669	44.2481	65.3061	17.2378	26.9393	1	1	50	100	0.350084	0.326764	0.624738	0.581278	0.494387	0.460854	1.47591	0.412508	-2.59169	-2.76191	-1.33964	-1.73943	-1.91287	0.961214	-2.18653	-1.16159	
105	858.33	299.331	97.3536	60.7147	35.223	44.8026	65.8877	17.3727	27.0979	1	1	50	100	0.348737	0.325237	0.623651	0.58014	0.49322	0.460205	1.47062	0.411274	-2.60121	-2.77347	-1.34448	-1.74527	-1.91635	0.952355	-2.19392	-1.1659	
110	876.458	304.546	98.6146	61.4006	35.5557	45.3228	66.4299	17.4982	27.245	1	1	50	100	0.347473	0.323809	0.622632	0.579078	0.492134	0.459595	1.46571	0.410131	-2.61018	-2.78434	-1.349	-1.75071	-1.91963	0.944091	-2.20079	-1.16993	
115	893.757	309.495	99.803	62.045	35.8673	45.8116	66.9366	17.6152	27.3817	1	1	50	100	0.346286	0.32247	0.621675	0.578085	0.491122	0.45902	1.46113	0.409069	-2.61863	-2.79457	-1.35324	-1.7558	-1.92272	0.936365	-2.2072	-1.17373	
120	910.278	314.199	100.925	62.6516	36.1596	46.2718	67.4112	17.7246	27.5091	1	1	50	100	0.345168	0.321213	0.620775	0.577154	0.490176	0.458478	1.45685	0.40808	-2.62661	-2.80421	-1.35722	-1.76056	-1.92563	0.929128	-2.21318	-1.17731	
125	926.068	318.674	101.985	63.2235	36.4344	46.7058	67.8565	17.827	27.6282	1	1	50	100	0.344115	0.32003	0.619927	0.57628	0.489291	0.457966	1.45285	0.407156	-2.63415	-2.81332	-1.36096	-1.76502	-1.92839	0.922336	-2.21877	-1.18068	
130	941.168	322.934	102.989	63.7634	36.6932	47.1156	68.2751	17.9232	27.7396	1	1	50	100	0.343121	0.318916	0.619128	0.575459	0.48846	0.457482	1.4491	0.406292	-2.6413	-2.82193	-1.36448	-1.76922	-1.931	0.915951	-2.22402	-1.18387	
135	955.619	326.995	103.94	64.2738	36.9372	47.5031	68.6693	18.0135	27.8442	1	1	50	100	0.342181	0.317865	0.618373	0.574685	0.487679	0.457024	1.44557	0.405482	-2.64807	-2.83009	-1.3678	-1.77317	-1.93348	0.909938	-2.22895	-1.18688	
140	969.457	330.868	104.843	64.7571	37.1677	47.8701	69.0411	18.0986	27.9424	1	1	50	100	0.341292	0.316872	0.617659	0.573956	0.486944	0.45659	1.44226	0.404721	-2.6545	-2.83781	-1.37094	-1.77689	-1.93583	0.904269	-2.23358	-1.18973	
145	982.715	334.565	105.7	65.2151	37.3856	48.2179	69.3922	18.1788	28.0348	1	1	50	100	0.340449	0.315933	0.616983	0.573266	0.486251	0.456178	1.43914	0.404006	-2.6606	-2.84514	-1.37391	-1.78041	-1.93805	0.898916	-2.23795	-1.19244	
150	995.423	338.096	106.515	65.6496	37.5919	48.5481	69.7242	18.2546	28.122	1	1	50	100	0.33965	0.315043	0.616343	0.572615	0.485597	0.455787	1.43619	0.403331	-2.6664	-2.85211	-1.37672	-1.78373	-1.94017	0.893855	-2.24208	-1.195	
155	1007.61	341.471	107.29	66.0624	37.7875	48.8617	70.0386	18.3262	28.2042	1	1	50	100	0.338892	0.3142	0.615735	0.571998	0.484979	0.455415	1.43341	0.402695	-2.67192	-2.85872	-1.37938	-1.78688	-1.94218	0.889064	-2.24598	-1.19744	
160	1019.31	344.7	108.029	66.4548	37.9731	49.1598	70.3366	18.394	28.2819	1	1	50	100	0.338171	0.3134	0.615158	0.571413	0.484394	0.455062	1.43077	0.402094	-2.67718	-2.86502	-1.3819	-1.78986	-1.9441	0.884524	-2.24966	-1.19975	
165	1030.53	347.79	108.733	66.8282	38.1494	49.4436	70.6193	18.4582	28.3555	1	1	50	100	0.337486	0.31264	0.614609	0.570858	0.48384	0.454726	1.42828	0.401526	-2.68219	-2.87102	-1.3843	-1.79268	-1.94593	0.880218	-2.25316	-1.20196	
170	1041.31	350.748	109.404	67.1838	38.317	49.7139	70.8879	18.5192	28.4252	1	1	50	100	0.336833	0.311917	0.614087	0.570331	0.483314	0.454405	1.42592	0.400988	-2.68696	-2.87673	-1.38658	-1.79537	-1.94767	0.876128	-2.25647	-1.20406	
175	1051.67	353.583	110.045	67.5227	38.4765	49.9716	71.1432	18.577	28.4912	1	1	50	100	0.336212	0.311229	0.61359	0.569831	0.482815	0.4541	1.42367	0.400477	-2.69152	-2.88218	-1.38875	-1.79792	-1.94933	0.872242	-2.25961	-1.20605	
180	1061.62	356.299	110.657	67.846	38.6284	50.2173	71.3861	18.6321	28.554	1	1	50	100	0.33562	0.310575	0.613117	0.569354	0.482341	0.453809	1.42154	0.399993	-2.69588	-2.88738	-1.39082	-1.80035	-1.95091	0.868545	-2.2626	-1.20796	
185	1071.18	358.904	111.243	68.1545	38.7732	50.4519	71.6175	18.6844	28.6136	1	1	50	100	0.335054	0.309951	0.612666	0.568901	0.48189	0.453531	1.41952	0.399533	-2.70004	-2.89235	-1.39278	-1.80266	-1.95242	0.865026	-2.26544	-1.20978	
190	1080.38	361.404	111.802	68.4492	38.9112	50.676	71.838	18.7342	28.6703	1	1	50	100	0.334515	0.309355	0.612235	0.568469	0.481461	0.453265	1.41759	0.399096	-2.70402	-2.89709	-1.39466	-1.80486	-1.95387	0.861673	-2.26814	-1.21151	
195	1089.23	363.802	112.338	68.7309	39.043	50.8902	72.0483	18.7817	28.7242	1	1	50	100	0.334	0.308788	0.611824	0.568056	0.481052	0.453012	1.41576	0.39868	-2.70783	-2.90163	-1.39645	-1.80695	-1.95525	0.858476	-2.27072	-1.21317	
200	1097.74	366.105	112.85	69.0002	39.1689	51.0951	72.249	18.827	28.7756	1	1	50	100	0.333507	0.308245	0.611431	0.567663	0.480662	0.452769	1.41401	0.398284	-2.71147	-2.90597	-1.39816	-1.80896	-1.95657	0.855426	-2.27318	-1.21476	
205	1105.94	368.317	113.341	69.2578	39.2891	51.2911	72.4407	18.8702	28.8246	1	1	50	100	0.333036	0.307727	0.611056	0.567288	0.48029	0.452537	1.41234	0.397906	-2.71496	-2.91012	-1.3998	-1.81087	-1.95784	0.852514	-2.27552	-1.21627	
210	1113.83	370.443	113.812	69.5045	39.4041	51.4787	72.6238	18.9114	28.8713	1	1	50	100	0.332586	0.307232	0.610697	0.566929	0.479935	0.452315	1.41075	0.397546	-2.7183	-2.9141	-1.40136	-1.8127	-1.95905	0.849733	-2.27775	-1.21773	
215	1121.42	372.485	114.263	69.7407	39.5141	51.6584	72.7989	18.9508	28.9159	1	1	50	100	0.332154	0.306758	0.610353	0.566586	0.479596	0.452102	1.40924	0.397203	-2.72151	-2.91791	-1.40285	-1.81444	-1.96022	0.847074	-2.27989	-1.21911	
220	1128.74	374.449	114.695	69.967	39.6194	51.8306	72.9665	18.9885	28.9585	1	1	50	100	0.331741	0.306305	0.610025	0.566258	0.479272	0.451898	1.40779	0.396875	-2.72458	-2.92157	-1.40428	-1.81611	-1.96133	0.844532	-2.28193	-1.22045	
225	1135.79	376.338	115.111	70.184	39.7202	51.9957	73.1268	19.0245	28.9993	1	1	50	100	0.331345	0.30587	0.60971	0.565944	0.478962	0.451703	1.4064	0.396561	-2.72753	-2.92507	-1.40565	-1.81771	-1.9624	0.842099	-2.28388	-1.22172	
